Goal,X,Y,C,Distance,Angle
1,9,65,15.0,13.578107379160027,0.3844644915514975
1,10,56,6.0,11.200892821556682,0.6011698894359486
1,4,48,2.0,4.396589587396122,1.3801151693681342
1,2,49,1.0,2.198294793698061,2.0790424128399163
1,6,62,12.0,10.026464980241043,0.48677393708455463
1,11,54,4.0,11.839024453053554,0.588192267514254
1,15,66,16.0,18.873857581321314,0.3244111338463663
1,8,73,23.0,17.148250639642516,0.21567089307558013
1,13,53,3.0,13.788582233137678,0.5145691046572908
1,12,40,10.0,14.177799547179385,0.4569083224019795
1,7,37,13.0,11.19933033712284,0.44772227561121114
1,1,52,2.0,1.6710774967068405,2.514361584361459
1,4,46,4.0,4.9396356140913875,1.2270686920947695
1,14,47,3.0,14.82877270713932,0.4803789265972236
1,12,52,2.0,12.666885963013955,0.5601772375647676
1,12,42,8.0,13.63084736911099,0.4912343711700846
1,5,40,10.0,8.355387483534201,0.5979823340415903
1,9,34,16.0,14.052135069091813,0.35947975315199954
1,10,46,4.0,10.817116066678771,0.6382251862369708
1,4,44,6.0,5.73149195236284,1.006617039996295
1,8,72,22.0,16.58463143998081,0.23080912089374037
1,13,67,17.0,17.562032911938186,0.32654703564538545
1,3,52,2.0,3.4077118422777475,1.647973806608485
1,10,56,6.0,11.200892821556682,0.6011698894359486
1,3,46,4.0,4.084421623681865,1.429201045967813
1,7,49,1.0,7.378685519792803,0.9190449283339781
1,27,52,2.0,28.379790344539195,0.2562565405951368
1,12,35,15.0,15.93180780702554,0.3663043742089903
1,13,61,11.0,15.409250468468608,0.41949264517163204
1,9,65,15.0,13.578107379160027,0.3844644915514975
1,7,56,6.0,8.320606949015197,0.7668402757191194
1,8,58,8.0,9.879271228182775,0.6307232983623592
1,16,53,3.0,16.912791017451852,0.42372254504194024
1,12,44,6.0,13.189768762188365,0.5213741842885677
1,14,53,3.0,14.82877270713932,0.4803789265972236
1,13,52,2.0,13.711765021323842,0.5197369931737656
1,3,40,10.0,7.223053370978232,0.536463366670397
1,14,49,1.0,14.71436373072244,0.48717423374771535
1,5,43,7.0,6.947301634447723,0.8339361238945006
1,3,44,6.0,5.013232490120521,1.0999616478160181
1,6,64,14.0,11.067971810589327,0.39990201971111766
1,6,58,8.0,8.16884324736373,0.7129423086642364
1,9,47,3.0,9.649093221645233,0.7147531635553958
1,10,42,8.0,11.717081547894082,0.5552607966192705
1,2,48,2.0,2.4698178070456938,2.0139208395155817
1,23,37,13.0,25.585640504001457,0.26900391356748554
1,3,47,3.0,3.704726710568541,1.5565115842075001
1,3,45,5.0,4.526035793053342,1.272510127702622
1,7,55,5.0,8.036479328661276,0.8102769720462943
1,7,89,39.0,26.39403341666446,0.07858215339107469
1,13,42,8.0,14.606933285258751,0.46338573138626593
1,8,59,9.0,10.23633235099369,0.5922585431147527
1,14,45,5.0,15.05498256392215,0.46730053223534024
1,3,47,3.0,3.704726710568541,1.5565115842075001
1,11,59,9.0,12.947007376224052,0.5014474542557615
1,25,33,17.0,28.48095855128475,0.23635710977218513
1,12,62,12.0,14.818906842274163,0.42059329168604304
1,17,52,2.0,17.897276329095444,0.4024840245835908
1,9,29,21.0,16.60195771588399,0.2579165948692716
1,1,56,6.0,4.038873605350878,1.2080791347227346
1,8,59,9.0,10.23633235099369,0.5922585431147527
1,19,44,6.0,20.327628981265867,0.3501973828101036
1,7,58,8.0,9.003471552684553,0.6717464204924444
1,9,48,2.0,9.538998899255622,0.7280729606989255
1,2,48,2.0,2.4698178070456938,2.0139208395155817
1,4,45,5.0,5.310602602341847,1.1219612064374744
1,10,68,18.0,15.720687007888682,0.31768371181991284
1,27,43,7.0,28.71280202279116,0.2505002147733271
1,17,58,8.0,18.592000968158324,0.3746687972679463
1,5,46,4.0,5.858540773947041,1.07215014489556
1,16,54,4.0,17.0,0.4196933376909174
1,29,69,19.0,32.859169192175266,0.20606223360276305
1,5,40,10.0,8.355387483534201,0.5979823340415903
1,17,50,0.0,17.85,0.40447783762626216
1,19,37,13.0,21.665756391134835,0.30992371857352585
1,9,55,5.0,9.993247720335965,0.6747302235506376
1,11,39,11.0,13.583997938751317,0.458874034466134
1,9,42,8.0,10.786218058244511,0.591643556025191
1,12,38,12.0,14.818906842274163,0.42059329168604304
1,3,57,7.0,5.533985905294664,0.9290767589440118
1,8,63,13.0,11.914801718870523,0.44610227378018025
1,11,34,16.0,15.542281042369552,0.3548588071854964
1,10,45,5.0,10.991473968490304,0.6210728310993445
1,9,61,11.0,11.850105484762572,0.49865017428260083
1,12,40,10.0,14.177799547179385,0.4569083224019795
1,10,61,11.0,12.703247616259395,0.4790511315471671
1,20,57,7.0,21.48726366943916,0.33032684948266916
1,17,53,3.0,17.956196701974505,0.4000177485012383
1,9,50,0.0,9.45,0.7390235358439743
1,6,47,3.0,6.594884381094182,0.9925712015286787
1,4,52,2.0,4.396589587396122,1.3801151693681342
1,8,55,5.0,9.006802984411284,0.7371524997587747
1,8,52,2.0,8.5,0.807278894490786
1,18,48,2.0,18.944656238633623,0.38087120766850147
1,2,46,4.0,3.342154993413681,1.7145799379756579
1,2,33,17.0,11.247777558255676,0.1350674206438104
1,12,51,1.0,12.616754733290174,0.564081131761737
1,13,39,11.0,15.409250468468608,0.41949264517163204
1,12,46,4.0,12.86545762886031,0.545034060148062
1,6,54,4.0,6.815423684555495,0.9489061410934956
1,4,61,11.0,8.292315719990405,0.5068860882826423
1,23,47,3.0,24.22859880389289,0.2989394350368488
1,5,58,8.0,7.3893504450661975,0.7505427715061921
1,11,53,3.0,11.713453803212783,0.599138082307799
1,8,44,6.0,9.26120942425988,0.7042514439477466
1,8,66,16.0,13.368619973654724,0.3560705838299028
